id,site_id,name,dai
1,1,Hisarlik,https://gazetteer.dainst.org/place/2287755
2,2,Beykoy,https://gazetteer.dainst.org/place/2221648
3,4,Torbali-Karakuyu,https://gazetteer.dainst.org/place/2285513
4,5,Akpinar,
5,8,Panaztepe,https://gazetteer.dainst.org/place/2280295
6,9,Sardis,https://gazetteer.dainst.org/place/2287726
7,14,Larisa am Hermos,https://gazetteer.dainst.org/place/2284901
8,15,Ephesus,https://gazetteer.dainst.org/place/2109329
9,22,Beycesultan,https://gazetteer.dainst.org/place/2289351
10,24,Milet,https://gazetteer.dainst.org/place/2091612
11,25,"Laodikeia, Asopos Tepesi",https://gazetteer.dainst.org/place/2280287
12,26,Stratonikeia,https://gazetteer.dainst.org/place/2105736
13,27,Pergamon,https://gazetteer.dainst.org/place/2281803
14,27,Pergamon,https://gazetteer.dainst.org/place/2113341
15,27,Pergamon,https://gazetteer.dainst.org/place/2110732
16,28,Pitane-Candarli,https://gazetteer.dainst.org/place/2287711
17,29,Iasos,https://gazetteer.dainst.org/place/2284814
18,30,Adramytteion,
19,31,Patara,https://gazetteer.dainst.org/place/2106248
20,32,Xanthos,https://gazetteer.dainst.org/place/2287765
21,36,Caltilar Hoyuk,
22,37,Hanay Tepe (Bozkoy),
23,38,Larisa (Limantepe),
24,43,Atarneus,https://gazetteer.dainst.org/place/2110916
25,44,Araplar Uyucek (Mandira Tepe),https://gazetteer.dainst.org/place/2043710
26,45,Araplar Uyucek (Mandira Tepe),
27,46,Inegol II Hoyuk,
28,47,Midaion (Kara Hoyuk),
29,48,Yesildon,
30,49,Porsuk Hoyuk 1,
31,50,Porsuk Hoyuk 2,
32,52,Toraman Hoyuk,
33,53,Agapinar,
34,54,Yakakayi,
35,60,Buyuk Hoyuk,
36,61,Hamitli Hoyuk,
37,62,Ilicabasi I,
38,64,Ibikseydi,
39,66,Kocahoyuk,
40,69,Gecek,
41,75,Uyuk Alti Mevkii,
42,77,Hoyuk Tepe (Karahoyuk),
43,81,Tenedos (Bozcaada),https://gazetteer.dainst.org/place/2043757
44,82,Bakla Tepe,
45,83,Halkapinar,https://gazetteer.dainst.org/place/2283195
46,84,Ada Tepe (Birytis),
47,85,Kumtepe,https://gazetteer.dainst.org/place/2769733
48,86,Polymedion (Asarlik),
49,87,Karagac Tepe,
50,89,Gavurtepe,
51,91,Alabanda,https://gazetteer.dainst.org/place/2107962
52,92,Elaia,
53,94,Tlos,https://gazetteer.dainst.org/place/2104901
54,95,Hastane Hoyuk (Thyateira),
55,98,"Boyalik Tepe I, II",
56,99,Karsikir Mevkii,
57,107,Sestos,https://gazetteer.dainst.org/place/2784656
58,108,Cobantepe (Tavolia),
59,115,Dalyan,https://gazetteer.dainst.org/place/2105960
60,119,Savrantepe,
61,120,Bozyer,
62,121,Gavurtepe-Alasehir,
63,122,Akhisar Hoyuk,
64,123,Dagdeviren Ciftligi Hoyuk,
65,124,Camonu (Karasonya),
66,137,Su Deligi Tepe,
67,140,Ilicatepe,
68,142,Arapkahve,
69,144,Buyukkale,
70,145,Beytikoy,
71,146,Karakova,
72,147,Hisarkoy,
73,148,Dedekuyusu (Destepe),
74,149,Bahcetepe,
75,152,Didyma,https://gazetteer.dainst.org/place/2088674
76,153,Hyllarima,
77,154,Alinda,https://gazetteer.dainst.org/place/2109151
78,155,Medet Hoyuk,https://gazetteer.dainst.org/place/2195966
79,157,Oren Mevkii,
80,158,Dedemkoyu Hoyuk,https://gazetteer.dainst.org/place/2289351
81,159,Isikli Hoyuk,
82,162,Candir Buyuk Hoyuk,
83,163,Candir Kucuk Hoyuk,
84,164,Dogu Sahanlar Hoyuk,
85,166,Bekirli Hoyuk,
86,167,Pekmez Hoyuk,
87,168,Ayazkoy/Ayaskent,
88,169,Basantepe,
89,170,Cakran,
90,171,Ciftlik,
91,173,Gryneion,https://gazetteer.dainst.org/place/2767587
92,174,Gumusova Tepe I,
93,175,Gumusova Tepe II,
94,182,Milas Pilav Tepe,
95,183,Emre Mevkii,
96,185,Gokceyazi Uyucek,https://gazetteer.dainst.org/place/2289382
97,187,Huyucek Tepe,
98,188,Antandros,
99,190,Inegol I (Cumatepe),
100,192,Cayirkoy Hoyuk,
101,193,Karadin Hoyuk,
102,194,Uyucek Hoyuk -Iznik,
103,195,Yugucek Hoyuk,
104,197,Karasil I Hoyuk,
105,198,Karasil II Hoyuk,
106,199,Kopruhisar Hoyuk,
107,200,Marmaracik Hoyuk,
108,201,Okuf Hoyuk,
109,202,Soylemis Hoyuk,
110,203,Barcin Hoyuk (Yenisehir II),
111,204,Kursunlu Hoyuk,
112,205,Karaca Hoyuk,
113,213,Keskin,
114,216,Esnemez Hoyuk,
115,218,Sandikozu Hoyuk,
116,220,Kavakozu,https://gazetteer.dainst.org/place/2410918
117,222,Alpanoz,
118,223,Kulluhoyuk,
119,226,Kucuk Kizlar Hoyuk,
120,230,Araporen,
121,231,Bahcecik II/Sivrihisar,
122,233,Ilicabasi II,
123,234,Hamam Karahisar,
124,240,Subren,
125,243,Maltepesi Hoyuk,
126,244,Kocakayavirani,
127,248,Hamamtepesi Hoyuk,
128,250,Huyuktepe,
129,252,Abya,
130,253,Alibey,
131,256,Akpinar,https://gazetteer.dainst.org/place/2226924
132,257,Isiklar,
133,258,Subak,
134,259,Orentepe,
135,262,Kalehuyuk,
136,263,Huyucek,
137,264,Demirkoy,
138,266,Pazaryeri 2,
139,267,Kinik,
140,269,Koyalti,
141,270,Bulucu Hoyuk,
142,274,Kocapinar,
143,279,Huyuk Mevkii (Kabakli),
144,280,Uchoyuk,
145,285,Egridir Hoyuk,
146,298,Kaymakci,https://gazetteer.dainst.org/place/2410927
147,299,Eceler Hoyuk,
148,300,Oinoanda,https://gazetteer.dainst.org/place/2284203
149,301,Pinara,https://gazetteer.dainst.org/place/2104266
150,302,Cardakli/Eski Degirmen Yolu,
151,303,Yorulmaz Ciftligi/Eski Baglik,
152,304,Dustubakyamasi,
153,305,Alatepe,
154,306,Adatepe,
155,307,Kaldirim,
156,308,Cukurcayir,
157,309,Namazgah,
158,310,Koprubasi,
159,311,Ortakci/Kemer Kopru,
160,312,Kocatepe,
161,313,Ortadegirmen,
162,314,Tepeyani,
163,316,Kaynaklar/Arpac,
164,318,Cevizlik,
165,319,Maya Baba,
166,320,Acicesme,
167,321,Taslitepe,
168,323,Kennez 1,https://gazetteer.dainst.org/place/2192702
169,324,Rahmiye II,
170,325,Kulaksizlar,
171,326,Alibeyli Hoyuk,
172,327,Baykustepe,
173,328,Halitpasa II,
174,329,Halitpasa I,
175,330,Avlutepe Hoyuk,
176,331,Veziroglu Hoyuk,
177,332,Asartepe,
178,333,Kizbaci Tepesi,
179,334,Gedevre Tepesi,
180,335,Kizciftligi/Trikopi,
181,339,Seytan Deresi,
182,340,Alanli (Hamzabali) Hoyuk,
183,342,Elmacik Hoyuk,
184,343,Yassitepe/Izmir,
185,345,Uyuk/Bilecik,
186,346,Adatepe/Dinar,
187,348,Tepe Hoyuk,
188,349,Goktepe Hoyuk,
189,350,Kerim Cayiri,
190,351,Ismail Hoyugu,
191,352,Karatepe Hoyuk,
192,354,Alparslan Hoyuk,
193,392,Degirmen,
194,393,Deniz Hoyuk,
195,394,Incekoy Hoyuk,
196,395,Seraserli Hoyuk,
197,396,Savram Hoyuk,
198,397,Tuglu Hoyuk,
199,398,Kesilmis Hoyuk,
200,401,Sulumenler Hoyuk,
201,402,Kuyuyolu Hoyuk,
202,403,Cingenoren Hoyuk,
203,404,Orucgazi Hoyuk,
204,412,Ada Mevkii Hoyuk,
205,414,Kirnabasi,
206,417,Suludereburnu,
207,418,Cagilarasi,
208,467,Ciftlik Hoyuk,
