Ore,Description,Reference,Latitude,Longitude
Umurlu Kayacik,"Lead, silver",Pernicka 84,37.967861,27.95836
Astyra,Gold,"Pernicka 84, Pernicka 2003",40.03187,26.56313
Uskufcu,Silver,Oy 2013,39.74136,26.31405
Lapseki,Copper,"Pernicka 87, Oy 2013",40.29955,26.85307
Edremit Gure,"Lead, silver, gold","Pernicka 84, Pernicka 2003",39.606528,26.876307
Dogancilar,Copper,Pernicka 2003,40.102516,26.895882
Yuvalar,Copper,Pernicka 2003,40.065063,27.06039
Serceoren,"Iron, copper-zinc-lead","Pernicka 87, Pernicka 2003",39.84778,28.30509
Arapdag,"Gold, silver",Pernicka 87,38.53725,27.24284
Efemcukuru,Copper-zinc-lead,Kaptan 2008,38.27826,26.96799
Gumuldur,"Silver, copper-zinc-lead","Pernicka 87, Kaptan 2008",38.089787,27.028754
Gumusdag Magnesia,"Lead, silver",Pernicka 87,37.84929,27.47982
Tire Beyler Bahcesi,Gold,"Pernicka 87, Lengeranli 2008",38.06291,27.95146
Odemis,Gold,"Pernicka 87, Lengeranli 2008",38.1845,27.91085
Bayindir Sariyurt Ilicadere,"Silver, copper-zinc-lead",Kaptan 2008,38.32185,27.63307
Yeni Kurudere,Copper-zinc-lead,Pernicka 87,38.34001,27.61531
Buca Madentepe,Copper-zinc-lead,Kaptan 2008,38.38403,27.35522
Balya,"Lead, silver, gold","Pernicka 87, Pernicka 2003",39.738545,27.591123
Karaaydin,"Lead,silver",Pernicka 2003,39.774585,27.179808
Madendere Altinoluk,"Lead, silver","Pernicka & Begemann 85, Pernicka 2003",39.589733,26.722115
Kemalpasa Kiziluzum,"Lead, silver","Pernicka 87, Lengeranli 2008",38.431845,27.377319
Kozcagiz (Fazlica),Copper,"Pernicka 84, Pernicka 2003",39.627106,27.144234
Keles,Copper,"Pernicka 84, Pernicka 2003",39.891654,29.277706
Ikiztepe,Copper,Pernicka 2003,41.826746,27.718507
Gumuskoy,"Lead, silver","Pernicka 84, Pernicka 2003",39.449881,29.744151
