id,site_id,name,pleiades_id
1,11,Sarhoyuk - Dorylaion,https://pleiades.stoa.org//places/610803
2,10,Musgebi-Bodrum,https://pleiades.stoa.org//places/599959
3,12,Maydos Kilisetepe,https://pleiades.stoa.org//places/501503
4,17,Bademgedigi (Puranda),https://pleiades.stoa.org//places/550741
5,44,Araplar Uyucek (Mandira Tepe),https://pleiades.stoa.org//places/550919
6,45,Araplar Uyucek (Mandira Tepe),https://pleiades.stoa.org//places/511166
7,412,Ada Mevkii Hoyuk,https://pleiades.stoa.org//places/609327
8,4,Torbali-Karakuyu,https://pleiades.stoa.org//places/550498
9,13,Bayrakli/Alt-Smyrna,https://pleiades.stoa.org//places/550771
10,16,Kadikalesi (Anaia),https://pleiades.stoa.org//places/599490
11,18,"Cesme, Baglararasi",https://pleiades.stoa.org//places/550488
12,19,Liman Tepe,https://pleiades.stoa.org//places/550650
13,23,Cine Tepecik Hoyuk,https://pleiades.stoa.org//places/599479
14,22,Beycesultan,https://pleiades.stoa.org//places/56861725
15,26,Stratonikeia,https://pleiades.stoa.org//places/599947
16,61,Hamitli Hoyuk,https://pleiades.stoa.org//places/609375
17,20,Kolophon,https://pleiades.stoa.org//places/599577
18,83,Halkapinar,https://pleiades.stoa.org//places/599557
19,9,Sardis,https://pleiades.stoa.org//places/550867
20,256,Akpinar,https://pleiades.stoa.org//places/611552
21,40,Kilcanlar Hoyuk,https://pleiades.stoa.org//places/550707
22,41,Kolossai (Honaz) Hoyuk,https://pleiades.stoa.org//places/638811
23,42,Yassi Hoyuk,https://pleiades.stoa.org//places/56861725
24,14,Larisa am Hermos,https://pleiades.stoa.org//places/550773
25,304,Dustubakyamasi,https://pleiades.stoa.org//places/501428
26,25,"Laodikeia, Asopos Tepesi",https://pleiades.stoa.org//places/638955
27,28,Pitane-Candarli,https://pleiades.stoa.org//places/550833
28,413,Baglica,https://pleiades.stoa.org//places/638964
29,82,Bakla Tepe,https://pleiades.stoa.org//places/550790
30,88,Asarlik-Eski Hisarlik,https://pleiades.stoa.org//places/550546
31,84,Ada Tepe (Birytis),https://pleiades.stoa.org//places/550888
32,85,Kumtepe,https://pleiades.stoa.org//places/550877
33,96,Balli Dag,https://pleiades.stoa.org//places/550546
34,97,Kalanuro Tepesi,https://pleiades.stoa.org//places/501483
35,305,Alatepe,https://pleiades.stoa.org//places/501428
36,306,Adatepe,https://pleiades.stoa.org//places/501428
37,80,Besiktepe-Yassitepe,https://pleiades.stoa.org//places/550401
38,414,Kirnabasi,https://pleiades.stoa.org//places/638964
39,415,Sakizcilar Asaronu,https://pleiades.stoa.org//places/609476
40,416,Gocuk Dumberek,https://pleiades.stoa.org//places/609477
41,417,Suludereburnu,https://pleiades.stoa.org//places/609327
42,418,Cagilarasi,https://pleiades.stoa.org//places/609327
43,307,Kaldirim,https://pleiades.stoa.org//places/501428
44,90,Tavsan Adasi,https://pleiades.stoa.org//places/599593
45,104,Rhodes-Trianda,https://pleiades.stoa.org//places/589815
46,105,Hanay Tepe,https://pleiades.stoa.org//places/550546
47,106,In Limani,https://pleiades.stoa.org//places/550401
48,110,Isildak Tepe,https://pleiades.stoa.org//places/550942
49,111,Eski Kale (Rhoiteion),https://pleiades.stoa.org//places/550856
50,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550609
51,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550929
52,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/551907
53,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550927
54,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550897
55,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550400
56,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550415
57,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550611
58,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550951
59,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550930
60,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/551154
61,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550871
62,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550883
63,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550870
64,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550946
65,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550413
66,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550861
67,116,Kumbet Kocabahce,https://pleiades.stoa.org//places/550462
68,419,Selcen Orenarasi,https://pleiades.stoa.org//places/609476
69,389,Oklubali Hoyuk,https://pleiades.stoa.org//places/609581
70,389,Oklubali Hoyuk,https://pleiades.stoa.org//places/609560
71,389,Oklubali Hoyuk,https://pleiades.stoa.org//places/609548
72,389,Oklubali Hoyuk,https://pleiades.stoa.org//places/609401
73,109,Figla Tepe,https://pleiades.stoa.org//places/550546
74,112,Mal Tepe (Dardanos),https://pleiades.stoa.org//places/501393
75,113,Hantepe,https://pleiades.stoa.org//places/550398
76,114,Ciftlik Tepe,https://pleiades.stoa.org//places/550633
77,117,Besik Tepe (Kolonai),https://pleiades.stoa.org//places/550661
78,128,Degirmentepe (Suleymanli),https://pleiades.stoa.org//places/553419
79,391,Karaca,https://pleiades.stoa.org//places/610799
80,392,Degirmen,https://pleiades.stoa.org//places/610799
81,393,Deniz Hoyuk,https://pleiades.stoa.org//places/609390
82,393,Deniz Hoyuk,https://pleiades.stoa.org//places/612325
83,393,Deniz Hoyuk,https://pleiades.stoa.org//places/609497
84,393,Deniz Hoyuk,https://pleiades.stoa.org//places/609437
85,393,Deniz Hoyuk,https://pleiades.stoa.org//places/612329
86,393,Deniz Hoyuk,https://pleiades.stoa.org//places/612326
87,118,Asartepe (in Gelibolu),https://pleiades.stoa.org//places/501386
88,107,Sestos,https://pleiades.stoa.org//places/501609
89,141,Tepekoylu Tarla,https://pleiades.stoa.org//places/550498
90,125,Mecidiye (Palamut) Hoyuk,https://pleiades.stoa.org//places/550444
91,126,Tepebaglar Hoyuk,https://pleiades.stoa.org//places/550444
92,127,Bagcesme Hoyuk,https://pleiades.stoa.org//places/553419
93,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550702
94,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550665
95,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550552
96,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550587
97,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/553421
98,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550829
99,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550672
100,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550445
101,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/550866
102,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/553423
103,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/553420
104,129,Arpali 1 Hoyuk,https://pleiades.stoa.org//places/553422
105,130,Bedeller (Orentepe) Hoyuk,https://pleiades.stoa.org//places/550949
106,131,Kayislar Hoyuk,https://pleiades.stoa.org//places/550444
107,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/609390
108,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/609437
109,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/612329
110,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/612325
111,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/609497
112,394,Incekoy Hoyuk,https://pleiades.stoa.org//places/612326
113,132,Baklatepe Hoyuk (Egrikoy),https://pleiades.stoa.org//places/550802
114,133,Asartepe (Urganli) Hoyuk,https://pleiades.stoa.org//places/550679
115,134,Sogut Cayi Hoyuk,https://pleiades.stoa.org//places/609445
116,135,Armutarasi Hoyuk,https://pleiades.stoa.org//places/550709
117,136,Ters Tepe Hoyuk,https://pleiades.stoa.org//places/609528
