site_number,period_name,period_id
1,EBA,1.0
1,MBA,2.0
1,LBA,3.0
1,PG,4.0
1,G,5.0
1,C,6.0
1,HL,7.0
1,R,8.0
2,Ch,9.0
2,EBA,1.0
2,MBA,2.0
2,LBA,3.0
2,IA,10.0
3,LBA,3.0
4,LBA,3.0
5,LBA,3.0
6,LBA,3.0
7,LBA,3.0
8,EBA,1.0
8,MBA,2.0
8,LBA,3.0
8,IA,10.0
8,A,11.0
8,C,6.0
8,HL,7.0
8,R,8.0
8,Byz-IP,12.0
9,LBA,3.0
9,IA,10.0
9,A,11.0
9,C,6.0
9,HLL,13.0
9,R,8.0
9,Byz-IP,12.0
10,LBA,3.0
11,EBA,1.0
11,MBA,2.0
11,LBA,3.0
11,IA,10.0
11,HL,7.0
11,R,8.0
11,Byz,14.0
11,IP,15.0
12,Ch,9.0
12,EBA,1.0
12,MBA,2.0
12,LBA,3.0
12,G,5.0
12,C,6.0
12,HL,7.0
12,R,8.0
12,Byz,14.0
13,EBA,1.0
13,LBA,3.0
13,IA,10.0
13,A,11.0
13,C,6.0
14,EBA,1.0
14,MBA,2.0
14,LBA,3.0
14,IA,10.0
14,A,11.0
14,C,6.0
14,HL,7.0
15,EBA,1.0
15,MBA,2.0
15,LBA,3.0
15,IA,10.0
15,A,11.0
15,C,6.0
15,HL,7.0
15,R,8.0
15,Byz,14.0
15,IP,15.0
16,LCh,16.0
16,EBA,1.0
16,MBA,2.0
16,LBA,3.0
16,C,6.0
16,HL,7.0
16,R,8.0
16,Byz,14.0
16,IP,15.0
17,MBA,2.0
17,LBA,3.0
17,IA (LG),
18,EBA,1.0
18,MBA,2.0
18,LBA,3.0
19,Ch,9.0
19,EBA,1.0
19,MBA,2.0
19,LBA,3.0
20,LBA,3.0
20,IA,10.0
20,C,6.0
20,HL,7.0
20,R,8.0
21,LN,17.0
21,LCh,16.0
21,EBA,1.0
21,MBA,2.0
21,LBA,3.0
21,IA,10.0
21,A,11.0
21,C,6.0
21,HL,7.0
21,R,8.0
21,Byz,14.0
21,IP,15.0
22,Ch,9.0
22,EBA,1.0
22,MBA,2.0
22,LBA,3.0
23,LN,17.0
